City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
114,Vagur,61.4732,-6.8119,50.2,85,7,6.98,FO,clear sky
115,Manacapuru,-3.2997,-60.6206,86.02,62,67,2.26,BR,broken clouds
116,Marsh Harbour,26.5412,-77.0636,83.3,71,19,11.36,BS,few clouds
117,Mahibadhoo,3.7833,72.9667,82.87,74,100,13.04,MV,overcast clouds
118,Rochegda,62.8,43.25,68.67,75,94,4.61,RU,overcast clouds
119,Gornopravdinsk,60.05,69.9,55.06,60,93,4.27,RU,overcast clouds
120,Bosaso,11.2842,49.1816,90.95,45,50,8.68,SO,scattered clouds
121,Berndorf,47.9457,16.1097,88.12,51,0,4.61,AT,clear sky
122,Husavik,66.0449,-17.3389,50.29,79,67,5.61,IS,broken clouds
123,Azangaro,-14.9167,-70.2167,61.11,12,14,2.06,PE,few clouds
124,Sangueya,10.7,-14.3667,77.63,92,99,8.03,GN,moderate rain
125,Dharchula,29.85,80.5333,71.56,96,100,0.76,IN,overcast clouds
126,Manhumirim,-20.3578,-41.9581,75.74,48,55,3.31,BR,broken clouds
127,Cap Malheureux,-19.9842,57.6142,67.46,78,58,5.01,MU,moderate rain
128,Ponta Delgada,37.7333,-25.6667,72.32,78,75,5.75,PT,broken clouds
129,Souillac,-20.5167,57.5167,70.18,78,75,13.8,MU,light rain
130,Yambio,4.5721,28.3955,68.72,97,100,1.81,SS,moderate rain
131,Luderitz,-26.6481,15.1594,63.52,54,0,10.25,NA,clear sky
132,Grand Gaube,-20.0064,57.6608,70.2,78,62,5.01,MU,moderate rain
133,Padang,-0.9492,100.3543,77.85,87,98,3.74,ID,overcast clouds
134,Secovce,48.7007,21.661,85.39,35,0,7.14,SK,clear sky
135,Stornoway,58.2093,-6.3865,57.16,75,75,4.61,GB,broken clouds
136,Dhule,20.9,74.7833,79.57,80,100,6.11,IN,overcast clouds
137,Georgetown,5.4112,100.3354,83.89,86,20,2.3,MY,few clouds
138,Omboue,-1.5746,9.2618,73.17,87,92,9.42,GA,overcast clouds
139,Chala,-7.5833,31.2667,62.8,48,97,2.98,TZ,overcast clouds
140,Maniitsoq,65.4167,-52.9,45.1,92,100,11.3,GL,overcast clouds
141,Senno,59.5336,33.9167,63.27,75,5,4.52,RU,clear sky
142,Kavaje,41.1856,19.5569,78.96,63,0,5.21,AL,clear sky
143,Wajir,1.7471,40.0573,82.36,44,0,9.22,KE,clear sky
144,Hamilton,39.1834,-84.5333,90.25,53,40,16.11,US,scattered clouds
145,Tarauaca,-8.1614,-70.7656,93.34,31,5,0.87,BR,clear sky
146,Carora,10.1755,-70.0827,98.74,27,28,15.26,VE,scattered clouds
147,Faya,18.3851,42.4509,69.91,40,97,7.78,SA,overcast clouds
148,Belyy Yar,53.6039,91.3903,62.49,78,0,6.71,RU,clear sky
149,Itacare,-14.2775,-38.9967,77.05,71,34,10.42,BR,scattered clouds
150,Sumbe,-11.2061,13.8437,68.52,87,70,6.08,AO,broken clouds
151,Jardim,-21.4803,-56.1381,93.36,18,9,10.67,BR,clear sky
152,Kotido,2.9806,34.1331,70.9,67,97,4.88,UG,overcast clouds
153,Yar-Sale,66.8333,70.8333,47.23,74,100,10.83,RU,overcast clouds
154,Gurupa,-1.405,-51.64,88.54,53,49,2.46,BR,scattered clouds
155,Kristiansund,63.1115,7.732,56.05,76,75,16.11,NO,broken clouds
156,Sisimiut,66.9395,-53.6735,47.91,89,100,15.64,GL,overcast clouds
157,Campoverde,-8.4753,-74.8058,87.49,38,38,1.39,PE,scattered clouds
158,Hinche,19.15,-72.0167,94.55,40,42,4.92,HT,scattered clouds
159,Hithadhoo,-0.6,73.0833,80.38,75,100,4.7,MV,moderate rain
160,Santiago De Cao,-7.9589,-79.2392,62.73,77,100,9.22,PE,fog
161,Paamiut,61.994,-49.6678,46.31,88,68,10.78,GL,broken clouds
162,Torbat-E Jam,35.244,60.6225,85.86,11,0,14.7,IR,clear sky
163,Togur,58.3631,82.8265,56.79,98,85,5.75,RU,overcast clouds
164,Kouroussa,10.65,-9.8833,76.91,87,79,5.39,GN,light rain
165,Kudahuvadhoo,2.6708,72.8944,81.75,70,100,8.5,MV,light rain
166,Chuy,-33.6971,-53.4616,59.2,84,100,7.4,UY,overcast clouds
167,Lerwick,60.1545,-1.1494,55.4,77,29,12.75,GB,scattered clouds
168,Walvis Bay,-22.9575,14.5053,61.75,67,0,3.44,NA,clear sky
169,Borgarnes,64.5383,-21.9206,60.8,64,70,4.56,IS,broken clouds
170,Mezhdurechensk,53.6942,88.0603,58.03,95,89,4.36,RU,light rain
171,Inta,66.0317,60.1659,51.22,56,67,7.56,RU,broken clouds
172,Quimper,48.0,-4.1,70.38,52,0,11.5,FR,clear sky
173,Malacacheta,-17.8422,-42.0767,72.88,54,76,5.21,BR,broken clouds
174,Narsaq,60.9167,-46.05,68.22,70,9,7.67,GL,clear sky
175,Antalaha,-14.9003,50.2788,67.32,88,56,8.81,MG,light rain
176,Dvinskoy,62.1535,45.1175,68.68,71,78,6.02,RU,broken clouds
177,Weligama,5.9667,80.4167,78.22,86,100,14.76,LK,overcast clouds
178,Kavaratti,10.5669,72.642,81.28,80,69,19.35,IN,broken clouds
179,Arani,12.6667,79.2833,81.99,73,92,5.99,IN,overcast clouds
180,Yenagoa,4.9247,6.2642,75.85,84,99,7.31,NG,light rain
181,De Panne,51.0792,2.5917,71.19,78,14,13.65,BE,few clouds
182,Havre-Saint-Pierre,50.2334,-63.5986,73.76,46,0,10.36,CA,clear sky
183,Diego De Almagro,-26.3667,-70.05,67.62,33,52,6.67,CL,broken clouds
184,San Vicente,-26.6167,-54.1333,77.59,47,41,5.5,AR,scattered clouds
185,Bembereke,10.2283,2.6634,74.37,84,97,4.12,BJ,light rain
186,Nouadhibou,20.931,-17.0347,75.18,83,12,13.8,MR,few clouds
187,Bathsheba,13.2167,-59.5167,88.41,83,20,20.71,BB,few clouds
188,Gazli,40.1333,63.45,97.77,10,0,11.86,UZ,clear sky
189,Upington,-28.4478,21.2561,55.78,50,0,4.61,ZA,clear sky
190,Sao Sebastiao,-23.76,-45.4097,74.7,72,4,3.98,BR,clear sky
191,Birin,26.8865,88.0718,65.26,92,100,3.8,NP,overcast clouds
192,East London,-33.0153,27.9116,54.54,94,0,8.05,ZA,clear sky
193,Vila Franca Do Campo,37.7167,-25.4333,72.01,69,31,2.46,PT,scattered clouds
194,Leninskoye,41.7589,69.3864,82.98,14,0,7.4,KZ,clear sky
195,Kishtwar,33.3167,75.7667,68.29,96,94,0.98,IN,overcast clouds
196,Ambilobe,-13.2,49.05,67.84,68,1,5.77,MG,clear sky
197,Itarema,-2.9248,-39.9167,85.21,60,49,16.73,BR,scattered clouds
198,Carnarvon,-24.8667,113.6333,64.56,71,50,16.49,AU,scattered clouds
199,Doctor Juan Manuel Frutos,-25.3667,-55.8,82.94,38,59,6.62,PY,broken clouds
200,Lagoa,39.05,-27.9833,72.88,81,66,4.68,PT,broken clouds
201,Kautokeino,69.0125,23.0412,58.21,90,99,9.24,NO,light rain
202,Carutapera,-1.195,-46.02,80.29,80,34,7.02,BR,scattered clouds
203,San Cristobal,7.7669,-72.225,80.78,56,91,7.92,VE,overcast clouds
