City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
357,Nacala,MZ,70.03,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
361,Iisalmi,FI,69.75,overcast clouds,63.5592,27.1907,Original Sokos Hotel Koljonvirta
373,Newcastle,AU,61.72,overcast clouds,-32.9272,151.7765,NOAH'S on the beach
381,Villaviciosa,ES,71.62,broken clouds,43.4813,-5.4357,Hotel Carlos I
384,Loandjili,CG,71.15,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
385,Sadovyy,RU,61.36,scattered clouds,53.3,34.3333,Graf Tolstoy
408,La Baule-Escoublac,FR,74.86,clear sky,47.2922,-2.364,Hôtel Barrière Le Royal La Baule
409,Pokhara,NP,72.21,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
411,Kutum,SD,72.59,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
416,Aanekoski,FI,73.67,overcast clouds,62.6946,25.818,Tervahovi
417,Yuryevets,RU,61.25,broken clouds,57.3201,43.1041,Pavlikov House
418,Snezhnogorsk,RU,67.78,broken clouds,69.1933,33.2531,Severnoye Siyaniye
428,Bereda,ES,68.41,few clouds,43.2686,-7.5406,Pazo de Verdes
429,Vawkavysk,BY,70.02,few clouds,53.1561,24.4513,Krasnosiel'skii
431,Mehamn,NO,60.75,light rain,71.0357,27.8492,Mehamn Arctic Hotel AS
435,Imeni Babushkina,RU,62.76,overcast clouds,59.7573,43.1285,"Gostevoy Dom ""Usol'ye"""
437,Skelleftea,SE,73.99,broken clouds,64.7507,20.9528,Quality Hotel Skellefteå Stadshotell
440,Likasi,CD,64.42,scattered clouds,-10.9814,26.7333,TABERNACLE DE LIKASI
441,Zvishavane,ZW,61.21,light rain,-20.3267,30.0665,Hotel Boutique Runde
444,Rafaela,AR,68.0,overcast clouds,-31.2503,-61.4867,Parra Hotel & Suites
449,Sehithwa,BW,67.78,broken clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
450,Leh,IN,69.12,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
451,Aleksandrov Gay,RU,70.2,light rain,50.147,48.5704,Gostinitsa
