City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,Sur,22.5667,59.5289,86.54,64,100,8.34,OM,2022-07-17 17:37:02
256,Cap Malheureux,-19.9842,57.6142,69.48,65,38,8.99,MU,2022-07-17 17:37:02
257,Bengkulu,-3.8004,102.2655,76.44,90,73,3.38,ID,2022-07-17 17:37:03
258,Svetlyy,54.675,20.1347,65.97,73,85,10.71,RU,2022-07-17 17:37:04
259,Boende,-0.2167,20.8667,75.81,85,95,0.63,CD,2022-07-17 17:37:05
260,Lobito,-12.3481,13.5456,68.22,85,78,5.64,AO,2022-07-17 17:37:06
261,Douentza,14.9951,-2.9517,92.66,39,40,5.32,ML,2022-07-17 17:37:06
262,Jimma,7.6667,36.8333,61.16,96,96,1.92,ET,2022-07-17 17:37:07
263,Conway,35.0887,-92.4421,96.71,50,0,10.36,US,2022-07-17 17:36:00
264,Inhambane,-23.865,35.3833,67.17,85,2,7.83,MZ,2022-07-17 17:37:08
265,Warrington,53.3925,-2.5802,89.91,33,0,14.97,GB,2022-07-17 17:37:09
266,Maragogi,-9.0122,-35.2225,77.02,77,19,12.97,BR,2022-07-17 17:37:10
267,Lynn Haven,30.2455,-85.6483,86.11,62,75,8.05,US,2022-07-17 17:37:11
268,Doha,25.2867,51.5333,98.91,64,9,4.61,QA,2022-07-17 17:33:15
269,Iqaluit,63.7506,-68.5145,46.13,87,100,9.22,CA,2022-07-17 17:37:12
270,Angoche,-16.2325,39.9086,70.57,84,33,4.94,MZ,2022-07-17 17:37:13
271,Shache,38.4167,77.2406,82.71,17,0,4.97,CN,2022-07-17 17:37:14
272,Potosi,-19.5836,-65.7531,54.21,10,24,14.07,BO,2022-07-17 17:37:15
273,Waw,7.7029,27.9953,74.12,82,53,4.16,SS,2022-07-17 17:37:16
274,Deer Lake,49.1667,-57.4316,82.26,39,75,14.97,CA,2022-07-17 17:38:17
275,Pangnirtung,66.1451,-65.7125,44.6,81,40,14.97,CA,2022-07-17 17:38:17
276,Aripuana,-9.1667,-60.6333,99.19,24,20,5.39,BR,2022-07-17 17:38:18
277,Parham,17.0968,-61.7705,85.69,66,40,16.11,AG,2022-07-17 17:38:18
278,Petrolia,42.8668,-82.1498,81.32,73,75,5.75,CA,2022-07-17 17:38:20
279,Jalapa,19.5333,-96.9167,73.42,59,97,6.15,MX,2022-07-17 17:37:33
280,Inta,66.0317,60.1659,62.69,83,45,7.99,RU,2022-07-17 17:38:21
281,Kilindoni,-7.9139,39.6668,76.6,75,56,18.48,TZ,2022-07-17 17:38:23
282,Saint George,37.1041,-113.5841,102.79,23,0,10.0,US,2022-07-17 17:38:24
283,Bolotnoye,55.6717,84.3981,50.7,93,5,10.83,RU,2022-07-17 17:38:24
284,Mitsamiouli,-11.3847,43.2844,77.29,69,20,13.8,KM,2022-07-17 17:38:25
285,Marawi,7.9986,124.2928,69.35,93,100,3.04,PH,2022-07-17 17:38:26
286,Ugoofaaru,5.6667,73.0,80.49,81,100,23.35,MV,2022-07-17 17:38:26
287,Cabedelo,-6.9811,-34.8339,77.67,80,43,19.13,BR,2022-07-17 17:38:27
288,Araouane,18.9048,-3.5265,103.57,22,83,8.97,ML,2022-07-17 17:38:28
289,Rio Gallegos,-51.6226,-69.2181,28.45,80,75,2.3,AR,2022-07-17 17:38:28
290,Sambava,-14.2667,50.1667,69.75,83,44,14.47,MG,2022-07-17 17:38:29
291,Touros,-5.1989,-35.4608,80.44,75,67,17.25,BR,2022-07-17 17:38:30
292,Mankachar,25.5333,89.8667,83.41,79,67,8.81,IN,2022-07-17 17:38:31
293,Leh,34.1667,77.5833,64.87,48,93,3.76,IN,2022-07-17 17:38:32
294,Puerto Triunfo,5.8726,-74.6403,87.3,59,90,3.85,CO,2022-07-17 17:38:33
295,Cockburn Town,21.4612,-71.1419,87.76,66,40,20.71,TC,2022-07-17 17:38:34
296,Urumqi,43.801,87.6005,83.35,23,75,6.71,CN,2022-07-17 17:38:35
297,Adrar,20.5022,-10.0711,110.43,7,9,12.06,MR,2022-07-17 17:38:36
298,La Ferte-Bernard,48.1863,0.6536,91.02,14,48,11.23,FR,2022-07-17 17:38:36
299,Tvoroyri,61.5556,-6.8111,51.64,84,95,24.7,FO,2022-07-17 17:38:37
300,Redcliffe,-27.2307,153.0973,60.89,82,0,8.05,AU,2022-07-17 17:38:38
301,Vieques,18.425,-65.8329,89.85,66,40,20.71,PR,2022-07-17 17:37:44
302,Iaciara,-14.0958,-46.6317,90.12,21,2,7.87,BR,2022-07-17 17:38:40
303,Greenwood,34.1668,-82.1165,90.07,63,0,5.77,US,2022-07-17 17:38:15
304,Los Llanos De Aridane,28.6585,-17.9182,73.15,81,20,17.27,ES,2022-07-17 17:38:41
305,Carutapera,-1.195,-46.02,81.32,74,51,9.35,BR,2022-07-17 17:38:42
306,Lida,53.8833,25.2997,56.19,86,66,7.61,BY,2022-07-17 17:38:43
307,Ascension,30.2169,-90.9001,93.06,64,0,0.0,US,2022-07-17 17:38:44
308,Hambantota,6.1241,81.1185,80.65,78,100,16.49,LK,2022-07-17 17:38:45
309,Pangody,65.85,74.4859,59.25,64,69,10.29,RU,2022-07-17 17:38:46
310,Guarapuava,-25.3953,-51.4581,59.65,50,100,3.27,BR,2022-07-17 17:38:46
311,Port Hawkesbury,45.6169,-61.3485,83.89,44,0,17.27,CA,2022-07-17 17:38:47
312,Aden,12.7794,45.0367,86.22,69,100,5.06,YE,2022-07-17 17:38:48
313,Marl,51.65,7.0833,82.76,37,85,1.99,DE,2022-07-17 17:38:49
314,Gat,31.61,34.7642,81.81,100,0,5.79,IL,2022-07-17 17:38:50
315,Klaksvik,62.2266,-6.589,50.92,84,81,22.93,FO,2022-07-17 17:38:51
316,Eidfjord,60.4675,7.0719,57.09,97,100,3.15,NO,2022-07-17 17:38:51
317,Road Town,18.4167,-64.6167,89.69,66,40,16.11,VG,2022-07-17 17:35:14
318,Penzance,50.1186,-5.5371,74.08,60,100,10.22,GB,2022-07-17 17:38:52
319,Olafsvik,64.8945,-23.7142,51.37,83,63,3.33,IS,2022-07-17 17:38:53
320,Hwange,-18.3693,26.5019,62.46,40,1,0.13,ZW,2022-07-17 17:38:54
321,Itarema,-2.9248,-39.9167,85.33,63,46,17.74,BR,2022-07-17 17:39:55
322,Buritis,-15.6178,-46.4233,87.31,26,9,8.21,BR,2022-07-17 17:39:55
323,Rabo De Peixe,37.8,-25.5833,71.11,83,75,14.97,PT,2022-07-17 17:39:56
324,Delijan,33.9905,50.6838,86.27,10,0,17.13,IR,2022-07-17 17:39:56
325,Vila Velha,-20.3297,-40.2925,85.95,72,20,11.5,BR,2022-07-17 17:39:57
326,Pontes E Lacerda,-15.2261,-59.3353,85.91,39,47,5.41,BR,2022-07-17 17:39:57
327,Pathri,19.25,76.45,74.71,90,100,13.94,IN,2022-07-17 17:39:58
328,Ancud,-41.8697,-73.8203,45.23,85,71,17.09,CL,2022-07-17 17:39:59
329,Jaleswar,26.6471,85.8008,91.33,56,61,13.4,NP,2022-07-17 17:39:59
330,Beira,-19.8436,34.8389,68.11,82,42,7.87,MZ,2022-07-17 17:40:00
331,Ikalamavony,-21.15,46.5833,56.39,74,29,11.56,MG,2022-07-17 17:40:01
332,Tahta,26.7693,31.5021,92.48,17,4,9.64,EG,2022-07-17 17:40:01
333,Wattegama,6.7989,81.4808,76.46,86,100,4.09,LK,2022-07-17 17:40:02
334,Rio Grande,-32.035,-52.0986,57.31,61,3,13.22,BR,2022-07-17 17:40:03
335,Alghero,40.5589,8.3181,87.89,45,0,8.05,IT,2022-07-17 17:40:04
336,Norrtalje,59.758,18.705,66.43,55,90,3.56,SE,2022-07-17 17:40:04
337,Salamanca,40.8333,-6.0,101.98,9,20,13.65,ES,2022-07-17 17:40:05
338,Itumbiara,-18.4192,-49.2153,90.54,24,19,4.61,BR,2022-07-17 17:40:05
339,Jumla,29.2747,82.1838,63.05,97,62,1.14,NP,2022-07-17 17:40:06
340,Thompson,55.7435,-97.8558,77.16,61,40,4.61,CA,2022-07-17 17:40:06
341,Roald,62.5833,6.1333,61.9,82,75,21.85,NO,2022-07-17 17:40:07
342,Castro,-24.7911,-50.0119,67.53,68,100,2.04,BR,2022-07-17 17:40:07
343,Zhezkazgan,47.8043,67.7144,78.58,42,9,9.73,KZ,2022-07-17 17:40:08
344,Qeshm,26.9581,56.2719,93.07,81,37,10.2,IR,2022-07-17 17:40:08
345,Morant Bay,17.8815,-76.4093,92.82,65,5,13.62,JM,2022-07-17 17:40:09
346,Berkak,62.825,10.0118,55.13,79,99,6.89,NO,2022-07-17 17:40:10
347,Meulaboh,4.1363,96.1285,77.72,86,66,2.75,ID,2022-07-17 17:40:10
348,Calabozo,8.9242,-67.4293,88.92,55,61,5.37,VE,2022-07-17 17:40:11
349,Kasulu,-4.5767,30.1025,65.77,66,70,4.21,TZ,2022-07-17 17:40:12
350,Sayat,38.7839,63.8803,94.87,11,0,11.16,TM,2022-07-17 17:40:13
351,Vagay,57.9375,69.0217,59.77,65,82,3.89,RU,2022-07-17 17:40:14
352,Alta Floresta,-9.8756,-56.0861,98.42,23,40,12.66,BR,2022-07-17 17:39:29
353,Keetmanshoop,-26.5833,18.1333,64.71,24,0,12.62,NA,2022-07-17 17:40:15
354,Caiaponia,-16.9567,-51.8103,91.26,20,28,7.58,BR,2022-07-17 17:37:33
355,Karpogory,64.0019,44.4451,61.05,75,100,2.01,RU,2022-07-17 17:40:16
356,Oranjemund,-28.55,16.4333,60.31,67,6,0.6,NA,2022-07-17 17:40:17
357,Porosozero,62.7191,32.727,57.06,71,76,3.87,RU,2022-07-17 17:40:18
358,Riosucio,5.4216,-75.7032,73.2,65,88,0.58,CO,2022-07-17 17:40:18
